01. 🙏 @ Nam-mô tát đát tha # 如來 | Tathāgata | तथागत — Trở về với Như Lai là trở về chân tâm: rỗng rang mà sáng, thương khắp chúng sinh.
312. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
313. 🙏 Ca ba rị ca # 護法 | Dharmapāla | धर्मपाल — Ca ba rị ca dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
314. Hất rị đởm # 心咒 | Hṛdaya-mantra | हृदय-मन्त्र — Hất rị đởm nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
315. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
316. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di gợi hạnh Địa Tạng: nơi nào còn khổ, nơi ấy còn lời nguyện thương yêu.
317. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
318. Xà dạ yết ra # 勝利 | Jaya | जय — Xà dạ yết ra là đường trở về tánh thấy: cảnh có đến đi, kiến tinh không hoại.
319. Ma độ yết ra # 破魔 | Māra-bheda | मार-भेद — Ma độ yết ra nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
320. Tát bà ra tha ta đạt na # 一切成就 | Sarvārthasiddhi | सर्वार्थसिद्धि — Tát bà ra tha ta đạt na dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
321. Hất rị đởm # 心印 | Hṛdaya-mudrā | हृदय-मुद्रा — Hất rị đởm là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
322. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
323. Sân dà dạ di # 摧伏 | Abhibhava | अभिभव — Sân dà dạ di là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
324. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
325. 🙏 Giả đốt ra # 堅固 | Dṛḍha | दृढ — Giả đốt ra là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
326. Bà kỳ nể # 吉祥 | Maṅgala | मङ्गल — Bà kỳ nể nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
327. Hất rị đởm # 心印 | Hṛdaya-mudrā | हृदय-मुद्रा — Hất rị đởm nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
328. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
329. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
330. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
331. Tỳ rị dương hất rị tri # 勇力 | Vīrya-bala | वीर्य-बल — Tỳ rị dương hất rị tri dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
332. Nan đà kê sa ra # 吉祥 | Maṅgala | मङ्गल — Nan đà kê sa ra nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
333. Dà noa bác đế # 智慧主 | Vidyāpati | विद्यापति — Dà noa bác đế nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
334. Sách hê dạ # 正行 | Samyak-caryā | सम्यक्-चर्या — Sách hê dạ là ngọn đèn giúp tôi phân biệt chánh tà mà không sinh kiêu mạn.
335. Hất rị đởm # 心印 | Hṛdaya-mudrā | हृदय-मुद्रा — Hất rị đởm nhắc tôi tin mọi chúng sinh đều có thể mở hoa giác ngộ.
336. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
337. 🙏 Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
338. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
339. Na yết na xá ra bà noa # 破邪 | Mithyā-bheda | मिथ्या-भेद — Phá tà là trả tâm về chánh kiến, không để lời sai che mất chân tâm.
340. Hất rị đởm # 心印 | Hṛdaya-mudrā | हृदय-मुद्रा — Hất rị đởm nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
341. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
342. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
343. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
344. A-la-hán # 阿羅漢 | Arhat | अर्हत् — A-la-hán giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
345. Hất rị đởm # 心印 | Hṛdaya-mudrā | हृदय-मुद्रा — Hất rị đởm là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
346. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
347. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
348. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
349. 🙏 Tỳ đa ra dà # 離欲 | Virāga | विराग — Tỳ đa ra dà nhắc tôi quán tất cả pháp không tự tánh, nên buông được mới thật bình an.
350. Hất rị đởm # 心印 | Hṛdaya-mudrā | हृदय-मुद्रा — Hất rị đởm nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
351. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
352. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
353. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
354. Bạt xà ra ba nể # 金剛手 | Vajrapāṇi | वज्रपाणि — Bạt xà ra ba nể dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
355. Câu hê dạ câu hê dạ # 速速 | Kṣipra-kṣipra | क्षिप्र-क्षिप्र — Câu hê dạ câu hê dạ nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
356. Ca địa bát đế # 護主 | Rakṣāpati | रक्षापति — Ca địa bát đế dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
357. Hất rị đởm # 心印 | Hṛdaya-mudrā | हृदय-मुद्रा — Hất rị đởm nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
358. Tỳ đà dạ xà # 破除 | Bheda | भेद — Tỳ đà dạ xà phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
359. Sân đà dạ di # 摧伏 | Abhibhava | अभिभव — Sân đà dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
360. Kê ra dạ di # 消滅 | Kīlana | कीलन — Kê ra dạ di nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
361. 🙏 Ra xoa vỏng # 羅剎王 | Rākṣasarāja | राक्षसराज — Ra xoa vỏng là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
362. Bà dà phạm # 世尊 | Bhagavān | भगवान् — Bà dà phạm giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
363. Ấn thố na mạ mạ tỏa # 圓滿成就 | Paripūrṇa-siddhi | परिपूर्ण-सिद्धि — Ấn thố na mạ mạ tỏa giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
364. @@@@ Bà dà phạm # 世尊 | Bhagavān | भगवान् — Bà dà phạm nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
365. Tát đác đa bát đác ra # 大白傘蓋 | Mahāsitātapatra | महासितातपत्र — Tát đác đa bát đác ra nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
366. Nam-mô tý đô đế # 歸命 | Śaraṇāgati | शरणागति — Nam-mô tý đô đế là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
367. A tất đa na ra lặc ca # 無上守護 | Anuttara-rakṣā | अनुत्तर-रक्षा — A tất đa na ra lặc ca là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
368. Ba ra bà # 圓滿 | Paripūrṇa | परिपूर्ण — Ba ra bà đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
369. Tất phổ tra # 普遍 | Sarvatraga | सर्वत्रग — Tất phổ tra nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
370. Tỳ ca tát đác đa bát đế rị # 大白傘威德 | Mahāsitātapatra-tejas | महासितातपत्र-तेजस् — Tỳ ca tát đác đa bát đế rị nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
371. Thập Phật ra thập Phật ra # 十方佛 | Daśadigbuddha | दशदिग्बुद्ध — Mười phương Phật đồng khai thị: ai cũng có đường ngộ nhập tri kiến Phật.
372. Ðà ra đà ra # 執持 | Dhāraṇa | धारण — Ðà ra đà ra là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
373. 🙏 Tần đà ra tần đà ra # 斷除 | Chedana | छेदन — Tần đà ra tần đà ra là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
374. Sân đà sân đà # 摧伏 | Abhibhava | अभिभव — Sân đà sân đà là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
375. Hổ hồng hổ hồng # 威攝 | Ākarṣaṇa | आकर्षण — Hổ hồng hổ hồng là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
376. Phấn tra phấn tra phấn tra phấn tra phấn tra # 破破破破破 | Bheda-bheda-bheda-bheda-bheda | भेद-भेद-भेद-भेद-भेद — Phá năm lần là phá ngã chấp, tà kiến, sân hận, sợ hãi và vô minh.
377. Ta ha # 成就 | Siddhi | सिद्धि — Ta ha giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
378. Hê hê phấn # 速破 | Kṣipra-bheda | क्षिप्र-भेद — Hê hê phấn dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
379. A mâu ca da phấn # 無障破 | Avighna-bheda | अविघ्न-भेद — A mâu ca da phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
380. A ba ra đề ha da phấn # 無敵破 | Aparājita-bheda | अपराजित-भेद — A ba ra đề ha da phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
381. Ba ra bà ra đà phấn # 大破 | Mahābheda | महाभेद — Ba ra bà ra đà phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
382. A tố ra # 阿修羅 | Asura | असुर — A tố ra dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
383. Tỳ đà ra # 破壞 | Vināśa | विनाश — Tỳ đà ra nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
384. Ba ca phấn # 焚燒 | Dahana | दहन — Ba ca phấn phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
385. 🙏 Tát bà đề bệ tệ phấn # 一切天破 | Sarva-deva-bheda | सर्व-देव-भेद — Tát bà đề bệ tệ phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
386. Tát bà na dà tệ phấn # 一切龍破 | Sarva-nāga-bheda | सर्व-नाग-भेद — Tát bà na dà tệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
387. Tát bà dược xoa tệ phấn # 一切夜叉破 | Sarva-yakṣa-bheda | सर्व-यक्ष-भेद — Tát bà dược xoa tệ phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
388. Tát bà kiền thát bà tệ phấn # 一切乾闥婆破 | Sarva-gandharva-bheda | सर्व-गन्धर्व-भेद — Tát bà kiền thát bà tệ phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
389. Tát bà bổ đơn na tệ phấn # 一切富單那破 | Sarva-pūtana-bheda | सर्व-पूतन-भेद — Tát bà bổ đơn na tệ phấn dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
390. Ca tra bổ đơn na tệ phấn # 迦吒富單那破 | Kaṭapūtana-bheda | कटपूतन-भेद — Ca tra bổ đơn na tệ phấn phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
391. Tát bà đột lang chỉ đế tệ phấn # 一切惡鬼破 | Sarva-duṣṭabhūta-bheda | सर्व-दुष्टभूत-भेद — Tát bà đột lang chỉ đế tệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
392. Tát bà đột sáp tỷ lê # 一切惡神 | Sarva-duṣṭadeva | सर्व-दुष्टदेव — Tát bà đột sáp tỷ lê là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
393. Hất sắc đế tệ phấn # 摧滅 | Vidhvaṃsana | विध्वंसन — Hất sắc đế tệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
394. Tát bà thập bà lê tệ phấn # 一切執破 | Sarva-graha-bheda | सर्व-ग्रह-भेद — Tát bà thập bà lê tệ phấn phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
395. Tát bà a bá tất ma lê tệ phấn # 一切癲狂破 | Sarva-apasmāra-bheda | सर्व-अपस्मार-भेद — Tát bà a bá tất ma lê tệ phấn gợi hạnh Địa Tạng: nơi nào còn khổ, nơi ấy còn lời nguyện thương yêu.
396. Tát bà xá ra bà noa tệ phấn # 一切邪說破 | Sarva-mithyāvāda-bheda | सर्व-मिथ्यावाद-भेद — Tát bà xá ra bà noa tệ phấn dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
397. 🙏 Tát bà địa đế kê tệ phấn # 一切地祇破 | Sarva-pṛthivīdevatā-bheda | सर्व-पृथिवीदेवता-भेद — Tát bà địa đế kê tệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
398. Tát bà đát ma đà kê tệ phấn # 一切魔破 | Sarva-māra-bheda | सर्व-मार-भेद — Mọi ma nạn nhỏ lại khi tâm biết các pháp như huyễn và không bỏ đạo.
399. Tát bà tệ đà da # 一切外道 | Sarva-tīrthika | सर्व-तीर्थिक — Tát bà tệ đà da nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
400. Ra thệ giá lê tệ phấn # 王難破 | Rāja-bhaya-bheda | राज-भय-भेद — Ra thệ giá lê tệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
401. Xà dạ yết ra # 勝利 | Jaya | जय — Xà dạ yết ra dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
402. Ma độ yết ra # 破魔 | Māra-bheda | मार-भेद — Ma độ yết ra là một cánh sen pháp: mọc giữa bùn khổ mà vẫn hướng mặt trời.
403. Tát bà ra tha ta đà kê tệ phấn # 一切成就 | Sarvārthasiddhi | सर्वार्थसिद्धि — Tát bà ra tha ta đà kê tệ phấn dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
404. Tỳ địa dạ # 智慧 | Vidyā | विद्या — Tỳ địa dạ dạy tôi phá vô minh bằng học pháp, quán chiếu và thương người trong mê.
405. Giá lê tệ phấn # 摧滅 | Vidhvaṃsana | विध्वंसन — Giá lê tệ phấn phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
406. Giả đô ra # 堅固 | Dṛḍha | दृढ — Giả đô ra là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
407. Phược kỳ nể tệ phấn # 吉祥破 | Maṅgala-vighna-bheda | मङ्गल-विघ्न-भेद — Phược kỳ nể tệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
408. Bạt xà ra # 金剛 | Vajra | वज्र — Bạt xà ra giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
409. 🙏 Câu ma rị # 金剛女 | Vajra-kumārī | वज्र-कुमारी — Câu ma rị là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
410. Tỳ đà dạ # 智慧 | Vidyā | विद्या — Tỳ đà dạ dạy tôi phá vô minh bằng học pháp, quán chiếu và thương người trong mê.
411. La thệ tệ phấn # 王難破 | Rāja-bhaya-bheda | राज-भय-भेद — La thệ tệ phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
412. Ma ha ba ra đinh dương # 大威光 | Mahātejoprabhā | महातेजोप्रभा — Ma ha ba ra đinh dương nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
413. Xoa kỳ rị tệ phấn # 速破 | Kṣipra-bheda | क्षिप्र-भेद — Xoa kỳ rị tệ phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
414. Bạt xà ra thương yết ra dạ # 金剛鎧 | Vajra-kavaca | वज्र-कवच — Bạt xà ra thương yết ra dạ là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
415. Ba ra trượng kỳ ra xà da phấn # 大自在王破 | Mahāsvatantrarāja-bheda | महास्वतन्त्रराज-भेद — Ba ra trượng kỳ ra xà da phấn phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
416. Ma ha ca ra dạ # 大黑天 | Mahākāla | महाकाल — Ma ha ca ra dạ nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
417. Ma ha mạt đát rị ca noa # 大天母 | Mahādevamātṛ | महादेवमातृ — Ma ha mạt đát rị ca noa nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
418. Nam-mô ta yết rị đa da phấn # 成就破 | Siddhi-vighna-bheda | सिद्धि-विघ्न-भेद — Nam-mô ta yết rị đa da phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
419. Tỷ sắc noa tỳ duệ phấn # 毘濕奴破 | Viṣṇu-bheda | विष्णु-भेद — Tỷ sắc noa tỳ duệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
420. Bột ra ha mâu ni duệ phấn # 梵天破 | Brahmā-bheda | ब्रह्मा-भेद — Bột ra ha mâu ni duệ phấn là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
421. 🙏 A kỳ ni duệ phấn # 火神破 | Agni-bheda | अग्नि-भेद — A kỳ ni duệ phấn là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
422. Ma ha yết rị duệ phấn # 大作破 | Mahākārya-bheda | महाकार्य-भेद — Ma ha yết rị duệ phấn dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
423. Yết ra đàn tri duệ phấn # 夜叉主破 | Yakṣādhipati-bheda | यक्षाधिपति-भेद — Yết ra đàn tri duệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
424. Miệc đát rị duệ phấn # 母神破 | Mātṛdevī-bheda | मातृदेवी-भेद — Miệc đát rị duệ phấn gợi lời Lăng Nghiêm: phản văn văn tự tánh, quay lại nghe nơi tâm bất diệt.
425. Lao đát rị duệ phấn # 羅怛利破 | Rātri-bheda | रात्रि-भेद — Lao đát rị duệ phấn phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
426. Giá văn trà duệ phấn # 夜神破 | Rātrideva-bheda | रात्रिदेव-भेद — Giá văn trà duệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
427. Yết la ra đác rị duệ phấn # 鬼女破 | Yakṣiṇī-bheda | यक्षिणी-भेद — Yết la ra đác rị duệ phấn là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
428. Ca bát rị duệ phấn # 護法破 | Dharmapāla-vighna-bheda | धर्मपाल-विघ्न-भेद — Ca bát rị duệ phấn nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
429. A địa mục chất đa # 殊勝解 | Adhimukti | अधिमुक्ति — Thắng giải là hiểu sâu: kiến tinh không hoại, nên cảnh khổ không thể cướp tâm.
430. Ca thi ma xá na # 捨身 | Kāya-tyāga | काय-त्याग — Ca thi ma xá na là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
431. Bà tư nể duệ phấn # 清淨破 | Viśuddhi-vighna-bheda | विशुद्धि-विघ्न-भेद — Bà tư nể duệ phấn dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
432. Diễn kiết chất # 結界 | Sīmābandha | सीमाबन्ध — Diễn kiết chất nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
433. 🙏 Tát đỏa bà tỏa # 勇猛 | Vīrya | वीर्य — Tát đỏa bà tỏa nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
434. Mạ mạ ấn thố na mạ mạ tỏa # 自身圓滿成就 | Ātma-paripūrṇa-siddhi | आत्म-परिपूर्ण-सिद्धि — Mạ mạ ấn thố na mạ mạ tỏa dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
435. @@@@@ Ðột sắc tra chất đa # 惡心 | Duṣṭacitta | दुष्टचित्त — Ðột sắc tra chất đa phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
436. A mạt đác rị chất đa # 不善心 | Akuśalacitta | अकुशलचित्त — A mạt đác rị chất đa đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
437. Ô xà ha ra # 奪氣 | Prāṇa-haraṇa | प्राण-हरण — Ô xà ha ra nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
438. Dà ba ha ra # 奪力 | Bala-haraṇa | बल-हरण — Dà ba ha ra dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
439. Lô địa ra ha ra # 奪血 | Rakta-haraṇa | रक्त-हरण — Lô địa ra ha ra nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
440. Ta bà ha ra # 奪精 | Śukra-haraṇa | शुक्र-हरण — Ta bà ha ra là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
441. Ma xà ha ra # 奪髓 | Majjā-haraṇa | मज्जा-हरण — Ma xà ha ra giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
442. Xà đa ha ra # 奪命 | Prāṇa-haraṇa | प्राण-हरण — Xà đa ha ra dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
443. Thị tỉ đa ha ra # 奪識 | Vijñāna-haraṇa | विज्ञान-हरण — Thị tỉ đa ha ra là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
444. Bạt lược dạ ha ra # 奪壽 | Āyuḥ-haraṇa | आयुः-हरण — Bạt lược dạ ha ra là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
445. 🙏 Kiền đà ha ra # 奪香氣 | Gandha-haraṇa | गन्ध-हरण — Kiền đà ha ra là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
446. Bố sữ ba ha ra # 奪花氣 | Puṣpa-haraṇa | पुष्प-हरण — Bố sữ ba ha ra nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
447. Phả ra ha ra # 奪光 | Prabhā-haraṇa | प्रभा-हरण — Phả ra ha ra dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
448. Bà tả ha ra # 奪語 | Vāk-haraṇa | वाक्-हरण — Bà tả ha ra dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
449. Bát ba chất đa # 邪念 | Mithyāsaṃkalpa | मिथ्यासंकल्प — Bát ba chất đa dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
450. Ðột sắc tra chất đa # 惡心 | Duṣṭacitta | दुष्टचित्त — Ðột sắc tra chất đa phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
451. Lao đà ra chất đa # 羅怛利心 | Rātricitta | रात्रिचित्त — Lao đà ra chất đa là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
452. Dược xoa yết ra ha # 夜叉執 | Yakṣa-graha | यक्ष-ग्रह — Khi hung dữ chấp giữ, hãy trở về lòng từ; ma tâm mềm dưới ánh sáng hiểu biết.
453. Ra sát ta yết ra ha # 羅剎執 | Rākṣasa-graha | राक्षस-ग्रह — Ra sát ta yết ra ha là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
454. Bế lệ đa yết ra ha # 餓鬼執 | Preta-graha | प्रेत-ग्रह — Bế lệ đa yết ra ha là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
455. Tỳ xá giá yết ra ha # 毘舍遮執 | Piśāca-graha | पिशाच-ग्रह — Tỳ xá giá yết ra ha nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
456. Bộ đa yết ra ha # 部多鬼 | Bhūta | भूत — Bộ đa yết ra ha nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
457. 🙏 Cưu bàn trà yết ra ha # 鳩槃荼 | Kumbhāṇḍa | कुम्भाण्ड — Cưu bàn trà yết ra ha là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
